id,lot_area,bedrooms,baths,year_built,saleprice
94,1400,1,1,2012,182000
95,1500,1,1,2012,195000
96,1600,1,1,2012,208000
97,1700,1,1,2012,221000
98,1800,1,1,2012,234000
99,1900,1,1,2012,247000
100,2000,1,1,2012,260000
101,2100,1,1,2012,273000
102,2200,1,1,2012,286000
103,2300,1,1,2012,299000
104,2400,1,1,2012,312000
105,2500,1,1,2012,325000
106,1100,2,1,2012,154000
107,1200,2,1,2012,168000
108,1300,2,1,2012,182000
109,1400,2,1,2012,196000
110,1500,2,1,2012,210000
111,1600,2,1,2012,224000
112,1700,2,1,2012,238000
113,1800,2,1,2012,252000
114,1900,2,1,2012,266000
115,2000,2,1,2012,280000
116,2100,2,1,2012,294000
117,2200,2,1,2012,308000
118,2300,2,1,2012,322000
119,2400,2,1,2012,336000
120,2500,2,1,2012,350000
121,1100,2,2,2012,165000
122,1200,2,2,2012,180000
123,1300,2,2,2012,195000
124,1400,2,2,2012,210000
125,1500,2,2,2012,225000
126,1600,2,2,2012,240000
127,1700,2,2,2012,255000
128,1800,2,2,2012,270000
129,1900,2,2,2012,285000
130,2000,2,2,2012,300000
131,2100,2,2,2012,315000
132,2200,2,2,2012,330000
133,2300,2,2,2012,345000
134,2400,2,2,2012,360000
135,2500,2,2,2012,375000
136,1100,3,1,2012,176000
137,1200,3,1,2012,192000
138,1300,3,1,2012,208000
139,1400,3,1,2012,224000
140,1500,3,1,2012,240000
141,1600,3,1,2012,256000
142,1700,3,1,2012,272000
143,1800,3,1,2012,288000
144,1900,3,1,2012,304000
145,2000,3,1,2012,320000
146,2100,3,1,2012,336000
147,2200,3,1,2012,352000
148,2300,3,1,2012,368000
149,2400,3,1,2012,384000
150,2500,3,1,2012,400000
151,1100,3,2,2012,187000
152,1200,3,2,2012,204000
153,1300,3,2,2012,221000
154,1400,3,2,2012,238000
155,1500,3,2,2012,255000
156,1600,3,2,2012,272000
157,1700,3,2,2012,289000
158,1800,3,2,2012,306000
159,1900,3,2,2012,323000
160,2000,3,2,2012,340000
161,2100,3,2,2012,357000
162,2200,3,2,2012,374000
163,2300,3,2,2012,391000
164,2400,3,2,2012,408000
165,2500,3,2,2012,425000
166,1100,3,3,2012,198000
167,1200,3,3,2012,216000
168,1300,3,3,2012,234000
169,1400,3,3,2012,252000
170,1500,3,3,2012,270000
171,1600,3,3,2012,288000
172,1700,3,3,2012,306000
173,1800,3,3,2012,324000
174,1900,3,3,2012,342000
175,2000,3,3,2012,360000
176,2100,3,3,2012,378000
177,2200,3,3,2012,396000
178,2300,3,3,2012,414000
179,2400,3,3,2012,432000
180,2500,3,3,2012,450000
181,1100,1,1,2014,154000
182,1200,1,1,2014,168000
183,1300,1,1,2014,182000
184,1400,1,1,2014,196000
185,1500,1,1,2014,210000
186,1600,1,1,2014,224000
187,1700,1,1,2014,238000
188,1800,1,1,2014,252000
189,1900,1,1,2014,266000
190,2000,1,1,2014,280000
191,2100,1,1,2014,294000
192,2200,1,1,2014,308000
193,2300,1,1,2014,322000
194,2400,1,1,2014,336000
195,2500,1,1,2014,350000
196,1100,2,1,2014,165000
197,1200,2,1,2014,180000
198,1300,2,1,2014,195000
199,1400,2,1,2014,210000
200,1500,2,1,2014,225000
201,1600,2,1,2014,240000
202,1700,2,1,2014,255000
203,1800,2,1,2014,270000
204,1900,2,1,2014,285000
205,2000,2,1,2014,300000
206,2100,2,1,2014,315000
207,2200,2,1,2014,330000
208,2300,2,1,2014,345000
209,2400,2,1,2014,360000
210,2500,2,1,2014,375000
211,1100,2,2,2014,176000
212,1200,2,2,2014,192000
213,1300,2,2,2014,208000
214,1400,2,2,2014,224000
215,1500,2,2,2014,240000
216,1600,2,2,2014,256000
217,1700,2,2,2014,272000
218,1800,2,2,2014,288000
219,1900,2,2,2014,304000
220,2000,2,2,2014,320000
221,2100,2,2,2014,336000
222,2200,2,2,2014,352000
223,2300,2,2,2014,368000
224,2400,2,2,2014,384000
225,2500,2,2,2014,400000
226,1100,3,1,2014,187000
227,1200,3,1,2014,204000
228,1300,3,1,2014,221000
229,1400,3,1,2014,238000
230,1500,3,1,2014,255000
231,1600,3,1,2014,272000
232,1700,3,1,2014,289000
233,1800,3,1,2014,306000
234,1900,3,1,2014,323000
235,2000,3,1,2014,340000
236,2100,3,1,2014,357000
237,2200,3,1,2014,374000
238,2300,3,1,2014,391000
239,2400,3,1,2014,408000
240,2500,3,1,2014,425000
241,1100,3,2,2014,198000
242,1200,3,2,2014,216000
243,1300,3,2,2014,234000
244,1400,3,2,2014,252000
245,1500,3,2,2014,270000
246,1600,3,2,2014,288000
247,1700,3,2,2014,306000
248,1800,3,2,2014,324000
249,1900,3,2,2014,342000
250,2000,3,2,2014,360000
251,2100,3,2,2014,378000
252,2200,3,2,2014,396000
253,2300,3,2,2014,414000
254,2400,3,2,2014,432000
255,2500,3,2,2014,450000
256,1100,3,3,2014,209000
257,1200,3,3,2014,228000
258,1300,3,3,2014,247000
259,1400,3,3,2014,266000
260,1500,3,3,2014,285000
261,1600,3,3,2014,304000
262,1700,3,3,2014,323000
263,1800,3,3,2014,342000
264,1900,3,3,2014,361000
265,2000,3,3,2014,380000
266,2100,3,3,2014,399000
267,2200,3,3,2014,418000
268,2300,3,3,2014,437000
269,2400,3,3,2014,456000
270,2500,3,3,2014,475000
271,1100,1,1,2016,165000
272,1200,1,1,2016,180000
273,1300,1,1,2016,195000
274,1400,1,1,2016,210000
275,1500,1,1,2016,225000
276,1600,1,1,2016,240000
277,1700,1,1,2016,255000
278,1800,1,1,2016,270000
279,1900,1,1,2016,285000
280,2000,1,1,2016,300000
281,2100,1,1,2016,315000
282,2200,1,1,2016,330000
283,2300,1,1,2016,345000
284,2400,1,1,2016,360000
285,2500,1,1,2016,375000
286,1100,2,1,2016,176000
287,1200,2,1,2016,192000
288,1300,2,1,2016,208000
289,1400,2,1,2016,224000
290,1500,2,1,2016,240000
291,1600,2,1,2016,256000
292,1700,2,1,2016,272000
293,1800,2,1,2016,288000
294,1900,2,1,2016,304000
295,2000,2,1,2016,320000
296,2100,2,1,2016,336000
297,2200,2,1,2016,352000
298,2300,2,1,2016,368000
299,2400,2,1,2016,384000
300,2500,2,1,2016,400000
301,1100,2,2,2016,187000
302,1200,2,2,2016,204000
303,1300,2,2,2016,221000
304,1400,2,2,2016,238000
305,1500,2,2,2016,255000
306,1600,2,2,2016,272000
307,1700,2,2,2016,289000
308,1800,2,2,2016,306000
309,1900,2,2,2016,323000
310,2000,2,2,2016,340000
311,2100,2,2,2016,357000
312,2200,2,2,2016,374000
313,2300,2,2,2016,391000
314,2400,2,2,2016,408000
315,2500,2,2,2016,425000
316,1100,3,1,2016,198000
317,1200,3,1,2016,216000
318,1300,3,1,2016,234000
319,1400,3,1,2016,252000
320,1500,3,1,2016,270000
321,1600,3,1,2016,288000
322,1700,3,1,2016,306000
323,1800,3,1,2016,324000
324,1900,3,1,2016,342000
325,2000,3,1,2016,360000
326,2100,3,1,2016,378000
327,2200,3,1,2016,396000
328,2300,3,1,2016,414000
329,2400,3,1,2016,432000
330,2500,3,1,2016,450000
331,1100,3,2,2016,209000
332,1200,3,2,2016,228000
333,1300,3,2,2016,247000
334,1400,3,2,2016,266000
335,1500,3,2,2016,285000
336,1600,3,2,2016,304000
337,1700,3,2,2016,323000
338,1800,3,2,2016,342000
339,1900,3,2,2016,361000
340,2000,3,2,2016,380000
341,2100,3,2,2016,399000
342,2200,3,2,2016,418000
343,2300,3,2,2016,437000
344,2400,3,2,2016,456000
345,2500,3,2,2016,475000
346,1100,3,3,2016,220000
347,1200,3,3,2016,240000
348,1300,3,3,2016,260000
349,1400,3,3,2016,280000
350,1500,3,3,2016,300000
351,1600,3,3,2016,320000
352,1700,3,3,2016,340000
353,1800,3,3,2016,360000
354,1900,3,3,2016,380000
355,2000,3,3,2016,400000
356,2100,3,3,2016,420000
357,2200,3,3,2016,440000
358,2300,3,3,2016,460000
359,2400,3,3,2016,480000
360,2500,3,3,2016,500000
361,1100,1,1,2018,242000
362,1200,1,1,2018,264000
363,1300,1,1,2018,286000
364,1400,1,1,2018,308000
365,1500,1,1,2018,330000
366,1600,1,1,2018,352000
367,1700,1,1,2018,374000
368,1800,1,1,2018,396000
369,1900,1,1,2018,418000
370,2000,1,1,2018,440000
371,2100,1,1,2018,462000
372,2200,1,1,2018,484000
373,2300,1,1,2018,506000
374,2400,1,1,2018,528000
375,2500,1,1,2018,550000
376,1100,2,1,2018,242000
377,1200,2,1,2018,264000
378,1300,2,1,2018,286000
379,1400,2,1,2018,308000
380,1500,2,1,2018,330000
381,1600,2,1,2018,352000
382,1700,2,1,2018,374000
383,1800,2,1,2018,396000
384,1900,2,1,2018,418000
385,2000,2,1,2018,440000
386,2100,2,1,2018,462000
387,2200,2,1,2018,484000
388,2300,2,1,2018,506000
389,2400,2,1,2018,528000
390,2500,2,1,2018,550000
391,1100,2,2,2018,242000
392,1200,2,2,2018,264000
393,1300,2,2,2018,286000
394,1400,2,2,2018,308000
395,1500,2,2,2018,330000
396,1600,2,2,2018,352000
397,1700,2,2,2018,374000
398,1800,2,2,2018,396000
399,1900,2,2,2018,418000
400,2000,2,2,2018,440000
401,2100,2,2,2018,462000
402,2200,2,2,2018,484000
403,2300,2,2,2018,506000
404,2400,2,2,2018,528000
405,2500,2,2,2018,550000
406,1100,3,1,2018,242000
407,1200,3,1,2018,264000
408,1300,3,1,2018,286000
409,1400,3,1,2018,308000
410,1500,3,1,2018,330000
411,1600,3,1,2018,352000
412,1700,3,1,2018,374000
413,1800,3,1,2018,396000
414,1900,3,1,2018,418000
415,2000,3,1,2018,440000
416,2100,3,1,2018,462000
417,2200,3,1,2018,484000
418,2300,3,1,2018,506000
419,2400,3,1,2018,528000
420,2500,3,1,2018,550000
421,1100,3,2,2018,242000
422,1200,3,2,2018,264000
423,1300,3,2,2018,286000
424,1400,3,2,2018,308000
425,1500,3,2,2018,330000
426,1600,3,2,2018,352000
427,1700,3,2,2018,374000
428,1800,3,2,2018,396000
429,1900,3,2,2018,418000
430,2000,3,2,2018,440000
431,2100,3,2,2018,462000
432,2200,3,2,2018,484000
433,2300,3,2,2018,506000
434,2400,3,2,2018,528000
435,2500,3,2,2018,550000
436,1100,3,3,2018,242000
437,1200,3,3,2018,264000
438,1300,3,3,2018,286000
439,1400,3,3,2018,308000
440,1500,3,3,2018,330000
441,1600,3,3,2018,352000
442,1700,3,3,2018,374000
443,1800,3,3,2018,396000
444,1900,3,3,2018,418000
445,2000,3,3,2018,440000
446,2100,3,3,2018,462000
447,2200,3,3,2018,484000
448,2300,3,3,2018,506000
449,2400,3,3,2018,528000
450,2500,3,3,2018,550000
451,1100,1,1,2018,242000
452,1200,1,1,2018,264000
453,1300,1,1,2018,286000
454,1400,1,1,2018,308000
455,1500,1,1,2018,330000
456,1600,1,1,2018,352000
457,1700,1,1,2018,374000
458,1800,1,1,2018,396000
459,1900,1,1,2018,418000
460,2000,1,1,2018,440000
461,2100,1,1,2018,462000
462,2200,1,1,2018,484000
463,2300,1,1,2018,506000
464,2400,1,1,2018,528000
465,2500,1,1,2018,550000
466,1100,2,1,2018,242000
467,1200,2,1,2018,264000
468,1300,2,1,2018,286000
469,1400,2,1,2018,308000
470,1500,2,1,2018,330000
471,1600,2,1,2018,352000
472,1700,2,1,2018,374000
473,1800,2,1,2018,396000
474,1900,2,1,2018,418000
475,2000,2,1,2018,440000
476,2100,2,1,2018,462000
477,2200,2,1,2018,484000
478,2300,2,1,2018,506000
479,2400,2,1,2018,528000
480,2500,2,1,2018,550000
481,1100,2,2,2018,242000
482,1200,2,2,2018,264000
483,1300,2,2,2018,286000
484,1400,2,2,2018,308000
485,1500,2,2,2018,330000
486,1600,2,2,2018,352000
487,1700,2,2,2018,374000
488,1800,2,2,2018,396000
489,1900,2,2,2018,418000
490,2000,2,2,2018,440000
491,2100,2,2,2018,462000
492,2200,2,2,2018,484000
493,2300,2,2,2018,506000
494,2400,2,2,2018,528000
495,2500,2,2,2018,550000
496,1100,3,1,2018,242000
497,1200,3,1,2018,264000
498,1300,3,1,2018,286000
499,1400,3,1,2018,308000
500,1500,3,1,2018,330000
501,1600,3,1,2018,352000
502,1700,3,1,2018,374000
503,1800,3,1,2018,396000
504,1900,3,1,2018,418000
505,2000,3,1,2018,440000
506,2100,3,1,2018,462000
507,2200,3,1,2018,484000
508,2300,3,1,2018,506000
509,2400,3,1,2018,528000
510,2500,3,1,2018,550000
511,1100,3,2,2018,242000
512,1200,3,2,2018,264000
513,1300,3,2,2018,286000
514,1400,3,2,2018,308000
515,1500,3,2,2018,330000
516,1600,3,2,2018,352000
517,1700,3,2,2018,374000
518,1800,3,2,2018,396000
519,1900,3,2,2018,418000
520,2000,3,2,2018,440000
521,2100,3,2,2018,462000
522,2200,3,2,2018,484000
523,2300,3,2,2018,506000
524,2400,3,2,2018,528000
525,2500,3,2,2018,550000
526,1100,3,3,2018,242000
527,1200,3,3,2018,264000
528,1300,3,3,2018,286000
529,1400,3,3,2018,308000
530,1500,3,3,2018,330000
531,1600,3,3,2018,352000
532,1700,3,3,2018,374000
533,1800,3,3,2018,396000
534,1900,3,3,2018,418000
535,2000,3,3,2018,440000
536,2100,3,3,2018,462000
537,2200,3,3,2018,484000
538,2300,3,3,2018,506000
539,2400,3,3,2018,528000
540,2500,3,3,2018,550000
541,1100,1,1,2018,242000
542,1200,1,1,2018,264000
543,1300,1,1,2018,286000
544,1400,1,1,2018,308000
545,1500,1,1,2018,330000
546,1600,1,1,2018,352000
547,1700,1,1,2018,374000
548,1800,1,1,2018,396000
549,1900,1,1,2018,418000
550,2000,1,1,2018,440000
551,2100,1,1,2018,462000
552,2200,1,1,2018,484000
553,2300,1,1,2018,506000
554,2400,1,1,2018,528000
555,2500,1,1,2018,550000
556,1100,2,1,2018,242000
557,1200,2,1,2018,264000
558,1300,2,1,2018,286000
559,1400,2,1,2018,308000
560,1500,2,1,2018,330000
561,1600,2,1,2018,352000
562,1700,2,1,2018,374000
563,1800,2,1,2018,396000
564,1900,2,1,2018,418000
565,2000,2,1,2018,440000
566,2100,2,1,2018,462000
567,2200,2,1,2018,484000
568,2300,2,1,2018,506000
569,2400,2,1,2018,528000
570,2500,2,1,2018,550000
571,1100,2,2,2018,242000
572,1200,2,2,2018,264000
573,1300,2,2,2018,286000
574,1400,2,2,2018,308000
575,1500,2,2,2018,330000
576,1600,2,2,2018,352000
577,1700,2,2,2018,374000
578,1800,2,2,2018,396000
579,1900,2,2,2018,418000
580,2000,2,2,2018,440000
581,2100,2,2,2018,462000
582,2200,2,2,2018,484000
583,2300,2,2,2018,506000
584,2400,2,2,2018,528000
585,2500,2,2,2018,550000
586,1100,3,1,2018,242000
587,1200,3,1,2018,264000
588,1300,3,1,2018,286000
589,1400,3,1,2018,308000
590,1500,3,1,2018,330000
591,1600,3,1,2018,352000
592,1700,3,1,2018,374000
593,1800,3,1,2018,396000
594,1900,3,1,2018,418000
595,2000,3,1,2018,440000
596,2100,3,1,2018,462000
597,2200,3,1,2018,484000
598,2300,3,1,2018,506000
599,2400,3,1,2018,528000
600,2500,3,1,2018,550000
601,1100,3,2,2018,242000
602,1200,3,2,2018,264000
603,1300,3,2,2018,286000
604,1400,3,2,2018,308000
605,1500,3,2,2018,330000
606,1600,3,2,2018,352000
607,1700,3,2,2018,374000
608,1800,3,2,2018,396000
609,1900,3,2,2018,418000
610,2000,3,2,2018,440000
611,2100,3,2,2018,462000
612,2200,3,2,2018,484000
613,2300,3,2,2018,506000
614,2400,3,2,2018,528000
615,2500,3,2,2018,550000
616,1100,3,3,2018,242000
617,1200,3,3,2018,264000
618,1300,3,3,2018,286000
619,1400,3,3,2018,308000
620,1500,3,3,2018,330000
621,1600,3,3,2018,352000
622,1700,3,3,2018,374000
623,1800,3,3,2018,396000
624,1900,3,3,2018,418000
625,2000,3,3,2018,440000
626,2100,3,3,2018,462000
627,2200,3,3,2018,484000
628,2300,3,3,2018,506000
629,2400,3,3,2018,528000
630,2500,3,3,2018,550000
631,1100,1,1,2018,242000
632,1200,1,1,2018,264000
633,1300,1,1,2018,286000
634,1400,1,1,2018,308000
635,1500,1,1,2018,330000
636,1600,1,1,2018,352000
637,1700,1,1,2018,374000
638,1800,1,1,2018,396000
639,1900,1,1,2018,418000
640,2000,1,1,2018,440000
641,2100,1,1,2018,462000
642,2200,1,1,2018,484000
643,2300,1,1,2018,506000
644,2400,1,1,2018,528000
645,2500,1,1,2018,550000
646,1100,2,1,2018,242000
647,1200,2,1,2018,264000
648,1300,2,1,2018,286000
649,1400,2,1,2018,308000
650,1500,2,1,2018,330000
651,1600,2,1,2018,352000
652,1700,2,1,2018,374000
653,1800,2,1,2018,396000
654,1900,2,1,2018,418000
655,2000,2,1,2018,440000
656,2100,2,1,2018,462000
657,2200,2,1,2018,484000
658,2300,2,1,2018,506000
659,2400,2,1,2018,528000
660,2500,2,1,2018,550000
661,1100,2,2,2018,242000
662,1200,2,2,2018,264000
663,1300,2,2,2018,286000
664,1400,2,2,2018,308000
665,1500,2,2,2018,330000
666,1600,2,2,2018,352000
667,1700,2,2,2018,374000
668,1800,2,2,2018,396000
669,1900,2,2,2018,418000
670,2000,2,2,2018,440000
671,2100,2,2,2018,462000
672,2200,2,2,2018,484000
673,2300,2,2,2018,506000
674,2400,2,2,2018,528000
675,2500,2,2,2018,550000
676,1100,3,1,2018,242000
677,1200,3,1,2018,264000
678,1300,3,1,2018,286000
679,1400,3,1,2018,308000
680,1500,3,1,2018,330000
681,1600,3,1,2018,352000
682,1700,3,1,2018,374000
683,1800,3,1,2018,396000
684,1900,3,1,2018,418000
685,2000,3,1,2018,440000
686,2100,3,1,2018,462000
687,2200,3,1,2018,484000
688,2300,3,1,2018,506000
689,2400,3,1,2018,528000
690,2500,3,1,2018,550000
691,1100,3,2,2018,242000
692,1200,3,2,2018,264000
693,1300,3,2,2018,286000
694,1400,3,2,2018,308000
695,1500,3,2,2018,330000
696,1600,3,2,2018,352000
697,1700,3,2,2018,374000
698,1800,3,2,2018,396000
699,1900,3,2,2018,418000
700,2000,3,2,2018,440000
701,2100,3,2,2018,462000
702,2200,3,2,2018,484000
703,2300,3,2,2018,506000
704,2400,3,2,2018,528000
705,2500,3,2,2018,550000
706,1100,3,3,2018,242000
707,1200,3,3,2018,264000
708,1300,3,3,2018,286000
709,1400,3,3,2018,308000
710,1500,3,3,2018,330000
711,1600,3,3,2018,352000
712,1700,3,3,2018,374000
713,1800,3,3,2018,396000
714,1900,3,3,2018,418000
715,2000,3,3,2018,440000
716,2100,3,3,2018,462000
717,2200,3,3,2018,484000
718,2300,3,3,2018,506000
719,2400,3,3,2018,528000
720,2500,3,3,2018,550000
721,1100,1,1,2019,264000
722,1200,1,1,2018,288000
723,1300,1,1,2018,312000
724,1400,1,1,2018,336000
725,1500,1,1,2018,360000
726,1600,1,1,2018,384000
727,1700,1,1,2018,408000
728,1800,1,1,2018,432000
729,1900,1,1,2018,456000
730,2000,1,1,2018,480000
731,2100,1,1,2018,504000
732,2200,1,1,2018,528000
733,2300,1,1,2018,552000
734,2400,1,1,2018,576000
735,2500,1,1,2018,600000
736,1100,2,1,2018,264000
737,1200,2,1,2018,288000
738,1300,2,1,2018,312000
739,1400,2,1,2018,336000
740,1500,2,1,2018,360000
741,1600,2,1,2018,384000
742,1700,2,1,2018,408000
743,1800,2,1,2018,432000
744,1900,2,1,2018,456000
745,2000,2,1,2018,480000
746,2100,2,1,2018,504000
747,2200,2,1,2018,528000
748,2300,2,1,2018,552000
749,2400,2,1,2018,576000
750,2500,2,1,2018,600000
751,1100,2,2,2018,264000
752,1200,2,2,2018,288000
753,1300,2,2,2018,312000
754,1400,2,2,2018,336000
755,1500,2,2,2018,360000
756,1600,2,2,2018,384000
757,1700,2,2,2018,408000
758,1800,2,2,2018,432000
759,1900,2,2,2018,456000
760,2000,2,2,2018,480000
761,2100,2,2,2018,504000
762,2200,2,2,2018,528000
763,2300,2,2,2018,552000
764,2400,2,2,2018,576000
765,2500,2,2,2018,600000
766,1100,3,1,2018,264000
767,1200,3,1,2018,288000
768,1300,3,1,2018,312000
769,1400,3,1,2018,336000
770,1500,3,1,2018,360000
771,1600,3,1,2018,384000
772,1700,3,1,2018,408000
773,1800,3,1,2018,432000
774,1900,3,1,2018,456000
775,2000,3,1,2018,480000
776,2100,3,1,2018,504000
777,2200,3,1,2018,528000
778,2300,3,1,2018,552000
779,2400,3,1,2018,576000
780,2500,3,1,2018,600000
781,1100,3,2,2018,264000
782,1200,3,2,2018,288000
783,1300,3,2,2018,312000
784,1400,3,2,2018,336000
785,1500,3,2,2018,360000
786,1600,3,2,2018,384000
787,1700,3,2,2018,408000
788,1800,3,2,2018,432000
789,1900,3,2,2018,456000
790,2000,3,2,2018,480000
791,2100,3,2,2018,504000
792,2200,3,2,2018,528000
793,2300,3,2,2018,552000
794,2400,3,2,2018,576000
795,2500,3,2,2018,600000
796,1100,3,3,2018,264000
797,1200,3,3,2018,288000
798,1300,3,3,2018,312000
799,1400,3,3,2018,336000
800,1500,3,3,2018,360000
801,1600,3,3,2018,384000
802,1700,3,3,2018,408000
803,1800,3,3,2018,432000
804,1900,3,3,2018,456000
805,2000,3,3,2018,480000
806,2100,3,3,2018,504000
807,2200,3,3,2018,528000
808,2300,3,3,2018,552000
809,2400,3,3,2018,576000
810,2500,3,3,2018,600000
811,1100,1,1,2018,264000
812,1200,1,1,2018,288000
813,1300,1,1,2018,312000
814,1400,1,1,2018,336000
815,1500,1,1,2018,360000
816,1600,1,1,2018,384000
817,1700,1,1,2018,408000
818,1800,1,1,2018,432000
819,1900,1,1,2018,456000
820,2000,1,1,2018,480000
821,2100,1,1,2018,504000
822,2200,1,1,2018,528000
823,2300,1,1,2018,552000
824,2400,1,1,2018,576000
825,2500,1,1,2018,600000
826,1100,2,1,2018,264000
827,1200,2,1,2018,288000
828,1300,2,1,2018,312000
829,1400,2,1,2018,336000
830,1500,2,1,2018,360000
831,1600,2,1,2018,384000
832,1700,2,1,2018,408000
833,1800,2,1,2018,432000
834,1900,2,1,2018,456000
835,2000,2,1,2018,480000
836,2100,2,1,2018,504000
837,2200,2,1,2018,528000
838,2300,2,1,2018,552000
839,2400,2,1,2018,576000
840,2500,2,1,2018,600000
841,1100,2,2,2018,264000
842,1200,2,2,2018,288000
843,1300,2,2,2018,312000
844,1400,2,2,2018,336000
845,1500,2,2,2018,360000
846,1600,2,2,2018,384000
847,1700,2,2,2018,408000
848,1800,2,2,2018,432000
849,1900,2,2,2018,456000
850,2000,2,2,2018,480000
851,2100,2,2,2018,504000
852,2200,2,2,2018,528000
853,2300,2,2,2018,552000
854,2400,2,2,2018,576000
855,2500,2,2,2018,600000
856,1100,3,1,2018,264000
857,1200,3,1,2018,288000
858,1300,3,1,2018,312000
859,1400,3,1,2018,336000
860,1500,3,1,2018,360000
861,1600,3,1,2018,384000
862,1700,3,1,2018,408000
863,1800,3,1,2018,432000
864,1900,3,1,2018,456000
865,2000,3,1,2018,480000
866,2100,3,1,2018,504000
867,2200,3,1,2018,528000
868,2300,3,1,2018,552000
869,2400,3,1,2018,576000
870,2500,3,1,2018,600000
871,1100,3,2,2018,264000
872,1200,3,2,2018,288000
873,1300,3,2,2018,312000
874,1400,3,2,2018,336000
875,1500,3,2,2018,360000
876,1600,3,2,2018,384000
877,1700,3,2,2018,408000
878,1800,3,2,2018,432000
879,1900,3,2,2018,456000
880,2000,3,2,2018,480000
881,2100,3,2,2018,504000
882,2200,3,2,2018,528000
883,2300,3,2,2018,552000
884,2400,3,2,2018,576000
885,2500,3,2,2018,600000
886,1100,3,3,2018,264000
887,1200,3,3,2018,288000
888,1300,3,3,2018,312000
889,1400,3,3,2018,336000
890,1500,3,3,2018,360000
891,1600,3,3,2018,384000
892,1700,3,3,2018,408000
893,1800,3,3,2018,432000
894,1900,3,3,2018,456000
895,2000,3,3,2018,480000
896,2100,3,3,2018,504000
897,2200,3,3,2018,528000
898,2300,3,3,2018,552000
899,2400,3,3,2018,576000
900,2500,3,3,2018,600000
901,1100,1,1,2018,264000
902,1200,1,1,2018,288000
903,1300,1,1,2018,312000
904,1400,1,1,2018,336000
905,1500,1,1,2018,360000
906,1600,1,1,2018,384000
907,1700,1,1,2018,408000
908,1800,1,1,2018,432000
909,1900,1,1,2018,456000
910,2000,1,1,2018,480000
911,2100,1,1,2018,504000
912,2200,1,1,2018,528000
913,2300,1,1,2018,552000
914,2400,1,1,2018,576000
915,2500,1,1,2018,600000
916,1100,2,1,2018,264000
917,1200,2,1,2018,288000
918,1300,2,1,2018,312000
919,1400,2,1,2018,336000
920,1500,2,1,2018,360000
921,1600,2,1,2018,384000
922,1700,2,1,2018,408000
923,1800,2,1,2018,432000
924,1900,2,1,2018,456000
925,2000,2,1,2018,480000
926,2100,2,1,2018,504000
927,2200,2,1,2018,528000
928,2300,2,1,2018,552000
929,2400,2,1,2018,576000
930,2500,2,1,2018,600000
